technical skills,portfolio projects
Python, SQL, Pandas, https://github.com/user/python-sql
SQL, Python, Airflow, https://github.com/user/sql-Airflow
PySpark, Spark SQL, Delta Lake, https://github.com/user/py-spark-DeltaLake
Machine Learning, Deep Learning, TensorFlow, https://github.com/user/Ml-tensorflow
Data Engineering, ETL, ELT, https://github.com/user/DataEngg-ETL-ELT
Cloud Platforms (AWS, GCP, Azure), https://github.com/user/Cloud-AWS-GCP-Azure
Data Warehousing, Data Modeling, DBT, https://github.com/user/DataWhrehouse-Modeling-DBT
Data Visualization, Power BI, Tableau, https://github.com/user/DataVisual-PowerBI-Tableau
MLOps, MLflow, Kubeflow, https://github.com/user/MlOps-MlFlow-KubeFlow
Natural Language Processing (NLP), NLTK, spaCy, https://github.com/user/NLP-NLTK-spaCy
Computer Vision, OpenCV, TensorFlow, https://github.com/user/CVision-OpenCV-Tensor
Time Series Analysis, Forecasting, Prophet, https://github.com/user/TimeSA-Prophet-Forecasting
Data Cleaning, Data Wrangling, Pandas, https://github.com/user/Dcleaning-DW-pandas
Feature Engineering, Scikit-learn, https://github.com/user/Scikit-FeatureEngg
Statistical Analysis, Hypothesis Testing, https://github.com/user/StatsAnalysis-HypoTesting
Data Ethics, Privacy, GDPR, https://github.com/user/DataEthics-Privacy-GDPR
Big Data, Hadoop, Spark, https://github.com/user/BData-Hadoop-Spark
Data Governance, Data Quality, Metadata Management, https://github.com/user/Metadata-Management
Data Security, Encryption, Tokenization, https://github.com/user/DataSecurity-Encrypt-token
Cloud Data Engineering, AWS Glue, Databricks, https://github.com/user/CloudEngg-AWS-dataBricks
